,data1
27,Aug 8 03:32:34seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
28,Aug 8 03:32:35spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=spokane-ctc Test=icmp-test Loss%=0.000000 Min-RTT=1.746 MaxRTT=7.794 Avg-RTT=3.791 Jitter=6.048
29,Aug 8 03:32:36seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=mukilteo-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.932 MaxRTT=107.301 Avg-RTT=56.117 Jitter=102.369
30,Aug 8 03:32:36seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=graysharbor-ctc Test=icmp-test Loss%=0.000000 Min-RTT=4.942 MaxRTT=107.374 Avg-RTT=56.158 Jitter=102.432
31,Aug 8 03:32:36seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=lopezisland-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.954 MaxRTT=107.377 Avg-RTT=56.166 Jitter=102.423
32,Aug 8 03:32:37seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=chehalis-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.88 MaxRTT=8.849 Avg-RTT=6.528 Jitter=3.969
33,Aug 8 03:32:38seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
34,Aug 8 03:32:38seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
35,Aug 8 03:32:38seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=capeflattery-k12 Test=icmp-test Loss%=0.000000 Min-RTT=112.223 MaxRTT=112.223 Avg-RTT=112.223 Jitter=0
36,Aug 8 03:32:38seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=portgamble-nwic Test=icmp-test Loss%=0.000000 Min-RTT=3.799 MaxRTT=7.027 Avg-RTT=5.75 Jitter=3.228
37,Aug 8 03:32:39seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=marysville-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.658 MaxRTT=7.269 Avg-RTT=5.602 Jitter=2.611
38,Aug 8 03:32:40spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=royal-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.821 MaxRTT=9.287000000000001 Avg-RTT=7.687 Jitter=2.
39,Aug 8 03:32:40seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=granitefalls-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.536 MaxRTT=12.414 Avg-RTT=9.372999999999999 Jitter=7
40,Aug 8 03:32:41seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=everett-ctc Test=icmp-test Loss%=0.000000 Min-RTT=4.859 MaxRTT=10.763 Avg-RTT=6.931 Jitter=5.904
41,Aug 8 03:32:42seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
42,Aug 8 03:32:42seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
43,Aug 8 03:32:42seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=arlington-k12 Test=icmp-test Loss%=0.000000 Min-RTT=3.308 MaxRTT=26.067 Avg-RTT=10.941 Jitter=22.759
44,Aug 8 03:32:43seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=northkitsap-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.201 MaxRTT=14.426 Avg-RTT=7.832 Jitter=10.225
