,data1
3153,Aug 8 04:00:32seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=tulalip-nwic Test=icmp-test Loss%=0.000000 Min-RTT=10.878 MaxRTT=82.117 Avg-RTT=46.498 Jitter=71.239
3154,Aug 8 04:00:33spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=esd123-k12 Test=icmp-test Loss%=0.000000 Min-RTT=7.745 MaxRTT=9.807 Avg-RTT=8.651 Jitter=2.062
3155,Aug 8 04:00:33seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3156,Aug 8 04:00:33seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3157,Aug 8 04:00:37seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3158,Aug 8 04:00:37seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3159,Aug 8 04:00:39spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=inchelium-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.303 MaxRTT=8.452 Avg-RTT=6.544 Jitter=3.149
3160,Aug 8 04:00:40seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=lakestevens-k12 Test=icmp-test Loss%=0.000000 Min-RTT=3.525 MaxRTT=47.374 Avg-RTT=18.148 Jitter=43.849
3161,Aug 8 04:00:41seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3162,Aug 8 04:00:41seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3163,Aug 8 04:00:44spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=collegeplace-k12 Test=icmp-test Loss%=0.000000 Min-RTT=8.882999999999999 MaxRTT=14.054 Avg-RTT=10.61 J
3164,Aug 8 04:00:46seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3165,Aug 8 04:00:46seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3166,Aug 8 04:00:47seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=tulalip-nwic Test=icmp-test Loss%=0.000000 Min-RTT=10.781 MaxRTT=82.117 Avg-RTT=34.592 Jitter=71.336
3167,Aug 8 04:00:48seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wsu-gov-bacc Test=icmp-test Loss%=0.000000 Min-RTT=4.259 MaxRTT=9.135 Avg-RTT=6.003 Jitter=4.876
3168,Aug 8 04:00:49spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=westvalley-spk-k12 Test=icmp-test Loss%=0.000000 Min-RTT=2.073 MaxRTT=5.234 Avg-RTT=3.14 Jitter=3.161
3169,Aug 8 04:00:50seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3170,Aug 8 04:00:50seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3171,Aug 8 04:00:54seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3172,Aug 8 04:00:54seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3173,Aug 8 04:00:54spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=methowvalley-k12 Test=icmp-test Loss%=0.000000 Min-RTT=8.929 MaxRTT=21.954 Avg-RTT=13.495 Jitter=13.02
3174,Aug 8 04:00:54seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=upperskagit-lib Test=icmp-test Loss%=0.000000 Min-RTT=5.691 MaxRTT=74.984 Avg-RTT=35.961 Jitter=69.293
3175,Aug 8 04:00:56pdxcore1/68.179.203.69 cscript.crypto: RPM_TEST_RESULTS: Owner=battleground-k12 Test=icmp-test Loss%=0.000000 Min-RTT=2.053 MaxRTT=4.5 Avg-RTT=2.908 Jitter=2.447
3176,Aug 8 04:00:58seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3177,Aug 8 04:00:58seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3178,Aug 8 04:01:00spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=marywalker-k12 Test=icmp-test Loss%=0.000000 Min-RTT=3.66 MaxRTT=6.769 Avg-RTT=4.901 Jitter=3.109
3179,Aug 8 04:01:02seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wwu-bacc Test=icmp-test Loss%=0.000000 Min-RTT=69.617 MaxRTT=69.617 Avg-RTT=69.617 Jitter=0
3180,Aug 8 04:01:02seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=index-k12 Test=icmp-test Loss%=0.000000 Min-RTT=69.645 MaxRTT=69.645 Avg-RTT=69.645 Jitter=0
3181,Aug 8 04:01:02spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=dennyashby-lib Test=icmp-test Loss%=0.000000 Min-RTT=9.893000000000001 MaxRTT=11.923 Avg-RTT=10.681 Ji
3182,Aug 8 04:01:02seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=bainbridgeisland-k12 Test=icmp-test Loss%=0.000000 Min-RTT=69.669 MaxRTT=69.669 Avg-RTT=69.669 Jitter=0
3183,Aug 8 04:01:02seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=orting-k12 Test=icmp-test Loss%=0.000000 Min-RTT=69.633 MaxRTT=69.633 Avg-RTT=69.633 Jitter=0
3184,Aug 8 04:01:02seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3185,Aug 8 04:01:02seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3186,Aug 8 04:01:04spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=lind-k12 Test=icmp-test Loss%=0.000000 Min-RTT=19.847 MaxRTT=22.454 Avg-RTT=20.832 Jitter=2.607
3187,Aug 8 04:01:04spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=starbuck-k12 Test=icmp-test Loss%=0.000000 Min-RTT=8.058 MaxRTT=14.047 Avg-RTT=11.372 Jitter=5.989
3188,Aug 8 04:01:05seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wsu-mountvernon-bacc Test=icmp-test Loss%=0.000000 Min-RTT=57.707 MaxRTT=57.707 Avg-RTT=57.707 Jitter=0
3189,Aug 8 04:01:05spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=wallawalla-clarkston-ctc Test=icmp-test Loss%=0.000000 Min-RTT=5.199 MaxRTT=8.542999999999999 Avg-RTT=
3190,Aug 8 04:01:06seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=issaquah-k12 Test=icmp-test Loss%=0.000000 Min-RTT=3.896 MaxRTT=9.33 Avg-RTT=5.747 Jitter=5.434
3191,Aug 8 04:01:06spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=washtucna-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.881 MaxRTT=8.99 Avg-RTT=6.325 Jitter=4.109
3192,Aug 8 04:01:07seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3193,Aug 8 04:01:07seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3194,Aug 8 04:01:07spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=selkirk-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.029 MaxRTT=7.371 Avg-RTT=5.21 Jitter=3.342
3195,Aug 8 04:01:07seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wapato-k12 Test=icmp-test Loss%=0.000000 Min-RTT=43.513 MaxRTT=43.513 Avg-RTT=43.513 Jitter=0
3196,Aug 8 04:01:09seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=Raymond-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.286 MaxRTT=8.756 Avg-RTT=6.551 Jitter=3.47
3197,Aug 8 04:01:10seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3198,Aug 8 04:01:10seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3199,Aug 8 04:01:11spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=creston-k12 Test=icmp-test Loss%=0.000000 Min-RTT=3.163 MaxRTT=19.986 Avg-RTT=8.785 Jitter=16.823
3200,Aug 8 04:01:12spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=grandcouleedam-k12 Test=icmp-test Loss%=0.000000 Min-RTT=8.478 MaxRTT=13.478 Avg-RTT=10.363 Jitter=5
3201,Aug 8 04:01:13seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=montesano-k12 Test=icmp-test Loss%=0.000000 Min-RTT=134.099 MaxRTT=134.099 Avg-RTT=134.099 Jitter=0
3202,Aug 8 04:01:13seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=touchet-k12 Test=icmp-test Loss%=0.000000 Min-RTT=134.085 MaxRTT=134.085 Avg-RTT=134.085 Jitter=0
3203,Aug 8 04:01:13seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=hoquiam-k12 Test=icmp-test Loss%=0.000000 Min-RTT=134.107 MaxRTT=134.107 Avg-RTT=134.107 Jitter=0
3204,Aug 8 04:01:13seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=capeflattery-k12 Test=icmp-test Loss%=0.000000 Min-RTT=134.165 MaxRTT=134.165 Avg-RTT=134.165 Jitter=0
3205,Aug 8 04:01:14spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=keller-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.915 MaxRTT=8.567 Avg-RTT=7.049 Jitter=2.652
3206,Aug 8 04:01:15seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3207,Aug 8 04:01:15seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3208,Aug 8 04:01:15seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=oakharbor-k12 Test=icmp-test Loss%=0.000000 Min-RTT=7.945 MaxRTT=98.28 Avg-RTT=38.124 Jitter=90.335
3209,Aug 8 04:01:15seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=kettlefalls-lib Test=icmp-test Loss%=0.000000 Min-RTT=98.355 MaxRTT=98.355 Avg-RTT=98.355 Jitter=0
3210,Aug 8 04:01:15seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=anacortes-k12 Test=icmp-test Loss%=0.000000 Min-RTT=10.957 MaxRTT=98.42 Avg-RTT=54.689 Jitter=87.463
3211,Aug 8 04:01:16seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=bremerton-k12 Test=icmp-test Loss%=0.000000 Min-RTT=2.424 MaxRTT=9.026 Avg-RTT=6.403 Jitter=6.602
3212,Aug 8 04:01:16seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=arlington-k12 Test=icmp-test Loss%=0.000000 Min-RTT=3.076 MaxRTT=10.663 Avg-RTT=6.054 Jitter=7.587
3213,Aug 8 04:01:17pdxcore1/68.179.203.69 cscript.crypto: RPM_TEST_RESULTS: Owner=skamania-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.252 MaxRTT=9.215 Avg-RTT=7.566 Jitter=2.963
3214,Aug 8 04:01:17seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=northkitsap-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.185 MaxRTT=24.297 Avg-RTT=11.298 Jitter=20.112
3215,Aug 8 04:01:18seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=peninsula-k12 Test=icmp-test Loss%=0.000000 Min-RTT=49.099 MaxRTT=49.099 Avg-RTT=49.099 Jitter=0
3216,Aug 8 04:01:19seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3217,Aug 8 04:01:19seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3218,Aug 8 04:01:20seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=lakewashington-k12 Test=icmp-test Loss%=0.000000 Min-RTT=3.967 MaxRTT=26.494 Avg-RTT=13.199 Jitter=22.527
3219,Aug 8 04:01:21seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=peninsula-porttownsend-ctc Test=icmp-test Loss%=0.000000 Min-RTT=3.669 MaxRTT=7.235 Avg-RTT=4.922 Jitter=3.56
3220,Aug 8 04:01:22seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=skagitvalley-oakharbor-ctc Test=icmp-test Loss%=0.000000 Min-RTT=4.382 MaxRTT=6.427 Avg-RTT=5.302 Jitter=2.04
3221,Aug 8 04:01:22seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wshm-other Test=icmp-test Loss%=0.000000 Min-RTT=4.185 MaxRTT=6.446 Avg-RTT=5.228 Jitter=2.261
3222,Aug 8 04:01:23spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=mansfield-k12 Test=icmp-test Loss%=0.000000 Min-RTT=8.988 MaxRTT=11.418 Avg-RTT=9.840999999999999 Jitt
3223,Aug 8 04:01:23seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3224,Aug 8 04:01:23seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3225,Aug 8 04:01:26seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=graysharbor-ctc Test=icmp-test Loss%=0.000000 Min-RTT=4.87 MaxRTT=97.841 Avg-RTT=36.421 Jitter=92.971
3226,Aug 8 04:01:26seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=olympia-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.26 MaxRTT=97.808 Avg-RTT=36.251 Jitter=93.548
3227,Aug 8 04:01:26seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=concrete-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.04 MaxRTT=97.88 Avg-RTT=51.46 Jitter=92.84
3228,Aug 8 04:01:26seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=lopezisland-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.668 MaxRTT=9.778 Avg-RTT=7.649 Jitter=5.11
3229,Aug 8 04:01:26seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=mukilteo-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.9 MaxRTT=7.221 Avg-RTT=5.835 Jitter=2.321
3230,Aug 8 04:01:27seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=graysharbor-ctc Test=icmp-test Loss%=0.000000 Min-RTT=4.87 MaxRTT=97.841 Avg-RTT=36.421 Jitter=92.971
3231,Aug 8 04:01:27seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=vashonisland-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.068 MaxRTT=9.754 Avg-RTT=7.77 Jitter=4.686
3232,Aug 8 04:01:27seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=mukilteo-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.9 MaxRTT=7.221 Avg-RTT=5.835 Jitter=2.321
3233,Aug 8 04:01:27seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=northshore-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.29 MaxRTT=19.183 Avg-RTT=10.343 Jitter=14.893
3234,Aug 8 04:01:27seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3235,Aug 8 04:01:27seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3236,Aug 8 04:01:28seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=sbctc-sdc-1-ctc Test=icmp-test Loss%=0.000000 Min-RTT=4.007 MaxRTT=6.032 Avg-RTT=4.73 Jitter=2.025
3237,Aug 8 04:01:28seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=cascadia-ctc Test=icmp-test Loss%=0.000000 Min-RTT=4.318 MaxRTT=15.223 Avg-RTT=8.119999999999999 Jitter=10.90
3238,Aug 8 04:01:28spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=richland-k12 Test=icmp-test Loss%=0.000000 Min-RTT=7.933 MaxRTT=11.038 Avg-RTT=9.148999999999999 Jitte
3239,Aug 8 04:01:30seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=elma-k12 Test=icmp-test Loss%=0.000000 Min-RTT=8.295999999999999 MaxRTT=17.506 Avg-RTT=12.102 Jitter=9.210000
3240,Aug 8 04:01:30seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=anacortes-k12 Test=icmp-test Loss%=0.000000 Min-RTT=7.273 MaxRTT=98.42 Avg-RTT=38.883 Jitter=91.147
3241,Aug 8 04:01:31seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=sumner-k12 Test=icmp-test Loss%=0.000000 Min-RTT=7.531 MaxRTT=25.507 Avg-RTT=14.453 Jitter=17.976
3242,Aug 8 04:01:31seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=morton-k12 Test=icmp-test Loss%=0.000000 Min-RTT=5.461 MaxRTT=10.345 Avg-RTT=7.792 Jitter=4.884
3243,Aug 8 04:01:31seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3244,Aug 8 04:01:31seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3245,Aug 8 04:01:32seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=marymknight-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.471 MaxRTT=10.981 Avg-RTT=9.028 Jitter=4.51
3246,Aug 8 04:01:32seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wsu-wenatchee-bacc Test=icmp-test Loss%=0.000000 Min-RTT=5.829 MaxRTT=10.526 Avg-RTT=8.443 Jitter=4.697
3247,Aug 8 04:01:32seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=entiat-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.726 MaxRTT=10.616 Avg-RTT=8.801 Jitter=3.89
3248,Aug 8 04:01:32seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=bainbridgeisland-k12 Test=icmp-test Loss%=0.000000 Min-RTT=2.934 MaxRTT=69.669 Avg-RTT=25.19 Jitter=66.735
3249,Aug 8 04:01:32seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=index-k12 Test=icmp-test Loss%=0.000000 Min-RTT=3.661 MaxRTT=69.645 Avg-RTT=25.668 Jitter=65.984
3250,Aug 8 04:01:32seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=orting-k12 Test=icmp-test Loss%=0.000000 Min-RTT=4.878 MaxRTT=69.633 Avg-RTT=26.467 Jitter=64.755
3251,Aug 8 04:01:32seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wwu-bacc Test=icmp-test Loss%=0.000000 Min-RTT=4.892 MaxRTT=69.617 Avg-RTT=26.589 Jitter=64.725
3252,Aug 8 04:01:34seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=esd189-k12 Test=icmp-test Loss%=0.000000 Min-RTT=8.798 MaxRTT=69.485 Avg-RTT=30.238 Jitter=60.687
3253,Aug 8 04:01:35seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=washington-lib Test=icmp-test Loss%=0.000000 Min-RTT=8.407 MaxRTT=11.461 Avg-RTT=9.577999999999999 Jitter=3.0
3254,Aug 8 04:01:35seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wsu-mountvernon-bacc Test=icmp-test Loss%=0.000000 Min-RTT=6.709 MaxRTT=57.707 Avg-RTT=23.781 Jitter=50.998
3255,Aug 8 04:01:35spocore1/68.179.203.74 cscript.crypto: RPM_TEST_RESULTS: Owner=rosalia-k12 Test=icmp-test Loss%=0.000000 Min-RTT=2.303 MaxRTT=12.216 Avg-RTT=5.623 Jitter=9.913
3256,Aug 8 04:01:35seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pomeroy-k12 Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3257,Aug 8 04:01:35seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=pierce-puyallup-ctc Test=icmp-test Loss%=100.000000 Min-RTT=NaN MaxRTT=NaN Avg-RTT=NaN Jitter=NaN
3258,Aug 8 04:01:36seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=northbeach-k12 Test=icmp-test Loss%=0.000000 Min-RTT=6.521 MaxRTT=14.959 Avg-RTT=11.194 Jitter=8.438000000000
3259,Aug 8 04:01:37seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=ospi-k12 Test=icmp-test Loss%=0.000000 Min-RTT=7.073 MaxRTT=24.965 Avg-RTT=15.749 Jitter=17.892
3260,Aug 8 04:01:37seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=clark-ctc Test=icmp-test Loss%=0.000000 Min-RTT=7.053 MaxRTT=25.024 Avg-RTT=15.767 Jitter=17.971
3261,Aug 8 04:01:37seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=cascade-k12 Test=icmp-test Loss%=0.000000 Min-RTT=7.727 MaxRTT=10.261 Avg-RTT=8.736000000000001 Jitter=2.534
3262,Aug 8 04:01:37seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=mountpleasant-k12 Test=icmp-test Loss%=0.000000 Min-RTT=8.057 MaxRTT=10.242 Avg-RTT=8.834 Jitter=2.185
3263,Aug 8 04:01:38seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wapato-k12 Test=icmp-test Loss%=0.000000 Min-RTT=8.423999999999999 MaxRTT=43.513 Avg-RTT=20.152 Jitter=35.089
3264,Aug 8 04:01:38seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=palisades-k12 Test=icmp-test Loss%=0.000000 Min-RTT=8.759 MaxRTT=15.894 Avg-RTT=11.647 Jitter=7.135
3265,Aug 8 04:01:38seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wenatcheevalley-ctc Test=icmp-test Loss%=0.000000 Min-RTT=9.728999999999999 MaxRTT=12.173 Avg-RTT=10.548 Jitt
3266,Aug 8 04:01:38seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=dayton-k12 Test=icmp-test Loss%=0.000000 Min-RTT=10.057 MaxRTT=12.186 Avg-RTT=10.798 Jitter=2.129
3267,Aug 8 04:01:38seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=cheney-k12 Test=icmp-test Loss%=0.000000 Min-RTT=9.863 MaxRTT=12.22 Avg-RTT=10.777 Jitter=2.357
3268,Aug 8 04:01:38seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=wenatchee-k12 Test=icmp-test Loss%=0.000000 Min-RTT=10.058 MaxRTT=12.209 Avg-RTT=10.84 Jitter=2.151
3269,Aug 8 04:01:38seacore1/68.179.203.66 cscript: RPM_TEST_RESULTS: Owner=bridgeport-k12 Test=icmp-test Loss%=0.000000 Min-RTT=10.101 MaxRTT=12.294 Avg-RTT=10.894 Jitter=2.193
